step_slug,blueprint_slug,step_order,title,description,estimated_hours,remote_friendly
book-toy-swap-s05,book-toy-swap,5,Donate leftovers,"Pass unclaimed items to a charity, hospital or refugee support organisation.",2,false
ewaste-drive-s01,ewaste-drive,1,Partner with a certified recycler,Agree with a licensed e-waste recycler or municipal service to take the collected items.,3,true
ewaste-drive-s02,ewaste-drive,2,Choose a visible drop-off site,"Book a car park, school yard or market corner with easy drive-up access for a Saturday morning.",2,false
ewaste-drive-s03,ewaste-drive,3,Plan data-security messaging,Prepare guidance on wiping personal data from devices before donation.,2,true
ewaste-drive-s04,ewaste-drive,4,Promote with a clear accepted-items list,Publish exactly what is and is not accepted to avoid being dumped with hazardous items.,3,true
ewaste-drive-s05,ewaste-drive,5,Run the collection,"Staff intake, sort items into recycler categories and handle batteries safely.",5,false
ewaste-drive-s06,ewaste-drive,6,Report the haul,"Publish total weight collected and, where possible, devices routed to reuse rather than recycling.",2,true
bioblitz-s01,bioblitz,1,Recruit a naturalist guide,"Find a local ecologist, birder or botanist willing to lead identification.",3,true
bioblitz-s02,bioblitz,2,Choose site and get access permission,"Pick a park, reserve or riverbank and confirm group access with the manager.",2,true
bioblitz-s03,bioblitz,3,Set up the recording tool,Create an event project in a citizen-science app (e.g. iNaturalist) and prepare a how-to guide.,2,true
bioblitz-s04,bioblitz,4,Promote to families and schools,Frame it as a nature treasure hunt; invite school classes and family groups.,3,true
bioblitz-s05,bioblitz,5,Run the BioBlitz,"Lead the walk, help participants photograph and log species, and keep groups safe.",4,false
bioblitz-s06,bioblitz,6,Publish the species count,Share the final species tally and highlight notable finds with the community and the site manager.,2,true
birdhouse-workshop-s01,birdhouse-workshop,1,Design build kits,Choose species-appropriate designs and prepare cutting lists sized for beginners.,3,true
birdhouse-workshop-s02,birdhouse-workshop,2,Source materials and tools,"Get untreated timber (ideally offcuts/donations), screws, drills and saws for group use.",4,false
birdhouse-workshop-s03,birdhouse-workshop,3,Book a workshop space,"Find a makerspace, school workshop or garage with workbenches and power.",2,false
birdhouse-workshop-s04,birdhouse-workshop,4,Promote and take registrations,Cap participant numbers to match tools; promote to families and garden owners.,2,true
birdhouse-workshop-s05,birdhouse-workshop,5,Run the build session,"Teach safe tool use, guide assembly and explain correct placement for each design.",5,false
birdhouse-workshop-s06,birdhouse-workshop,6,Coordinate installation,Help participants site boxes correctly and arrange installing a few in public green spaces.,2,false
give-box-s01,give-box,1,Choose location and get permission,"Find a sheltered, visible, accessible spot and get written approval from the municipality or landowner.",4,true
give-box-s02,give-box,2,Design a weatherproof cabinet,"Design or adapt a robust, rainproof design with clear signage space.",3,true
give-box-s03,give-box,3,Source materials or an old cabinet,Get donated materials or upcycle an old wardrobe/phone box; budget for weatherproofing.,3,false
give-box-s04,give-box,4,Build the box,Construct and weatherproof the cabinet over one or two build days.,8,false
give-box-s05,give-box,5,Install and launch,"Mount it securely, stock it with starter items and hold a small opening moment for the neighbourhood.",4,false
give-box-s06,give-box,6,Set up light-touch stewardship,Recruit 2-3 nearby residents to tidy it weekly and post house rules inside.,2,true
pollinator-planting-s01,pollinator-planting,1,Identify a site and get approval,"Find an underused green strip and get permission from the municipality or landowner, including a no-mow agreement.",4,true
pollinator-planting-s02,pollinator-planting,2,Choose native seed mix,"Select a regionally native, pollinator-friendly seed mix suited to the soil and light conditions.",2,true
pollinator-planting-s03,pollinator-planting,3,Plan site preparation,"Determine how the ground will be cleared and prepared, and what tools are needed.",2,true
pollinator-planting-s04,pollinator-planting,4,Recruit volunteers and promote,Invite neighbours and families; frame it as creating a butterfly meadow on their street.,3,true
pollinator-planting-s05,pollinator-planting,5,Run the planting day,"Prepare soil, sow seeds or plant plugs, water in, and install a small explanatory sign.",5,false
pollinator-planting-s06,pollinator-planting,6,Arrange aftercare,Set a light watering/weeding rota for the establishment period and agree the mowing regime.,2,true
documentary-night-s01,documentary-night,1,Choose film and secure screening rights,Pick an engaging film and obtain a public screening licence or use a free-to-screen title.,3,true
documentary-night-s02,documentary-night,2,Book venue with projection,"Find a café, library or hall with projector, sound and seating.",2,false
documentary-night-s03,documentary-night,3,Design the discussion format,Prepare 3-4 discussion questions that connect the film to concrete local action options.,2,true
documentary-night-s04,documentary-night,4,Promote the evening,"Publicise via local calendars, posters and partner organisations.",3,true
documentary-night-s05,documentary-night,5,Host the screening and discussion,"Welcome guests, run the screening, and facilitate the conversation toward next steps.",4,false
documentary-night-s06,documentary-night,6,Capture interest for follow-up projects,"Collect contacts of attendees who want to act, and connect them to concrete projects.",1,true
mending-circle-s01,mending-circle,1,Recruit 1-2 sewing mentors,"Find experienced menders willing to teach basics like darning, patching and button repair.",3,true
mending-circle-s02,mending-circle,2,Find a regular cosy venue,"Book a recurring slot in a café, library or community room with good light and tables.",2,false
mending-circle-s03,mending-circle,3,Assemble a shared mending kit,"Collect needles, threads, yarns, patches and a couple of sewing machines.",3,false
mending-circle-s04,mending-circle,4,Promote the first sessions,"Emphasise the social, creative angle; ask people to bring one damaged garment.",3,true
mending-circle-s05,mending-circle,5,Host the first circle,"Run intros, demonstrate a basic technique, and support everyone to finish one repair.",3,false
mending-circle-s06,mending-circle,6,Establish the recurring rhythm,"Fix a monthly schedule, rotate hosting duties and build a message group for regulars.",2,true
community-garden-s01,community-garden,1,Gauge interest and form a core group,"Confirm 5-10 committed neighbours and agree the garden's purpose (food, community, education).",4,true
community-garden-s02,community-garden,2,Find and assess land,"Identify candidate plots; check sunlight, water access, soil contamination history and ownership.",8,false
community-garden-s03,community-garden,3,Negotiate land use agreement,Agree a written multi-year use agreement with the municipality or landowner.,6,true
community-garden-s04,community-garden,4,Design the garden layout,"Plan beds, paths, compost area, water points and a communal space; decide plot vs. communal model.",5,true
community-garden-s05,community-garden,5,Budget and fundraise for setup,"Cost soil, timber, tools and water connection; raise funds via small grants or crowdfunding.",6,true
community-garden-s06,community-garden,6,Organise build days,"Run 2-3 volunteer days to build beds, paths and compost bins.",12,false
community-garden-s07,community-garden,7,Set governance and rules,"Agree membership, fees, plot allocation, shared duties and conflict resolution.",4,true
community-garden-s08,community-garden,8,Plant the first season,Coordinate a planting plan and first sowing with all members.,6,false
community-garden-s09,community-garden,9,Establish ongoing rhythm,"Set up watering rotas, monthly workdays and a communication channel.",3,true
community-compost-s01,community-compost,1,Assess demand and site options,Survey neighbours on interest and find a site with drainage and reasonable distance from homes.,5,true
community-compost-s02,community-compost,2,Get municipal approval,"Clarify local rules on composting sites, odour and vermin control, and get written permission.",5,true
community-compost-s03,community-compost,3,Design the composting system,"Choose the system (3-bay, tumblers, bokashi) sized for expected volume, and plan the material flow.",4,true
community-compost-s04,community-compost,4,Build the composting site,"Construct bins, signage and a covered browns storage area over 1-2 build days.",10,false
community-compost-s05,community-compost,5,Train compost stewards,"Train 3-5 volunteers in layering, turning, temperature checks and troubleshooting.",4,false
community-compost-s06,community-compost,6,Onboard households,"Register participating households, distribute caddies and a clear what-goes-in guide.",4,true
community-compost-s07,community-compost,7,Run and monitor the first cycles,"Operate a steward rota, monitor quality and fix issues quickly to keep neighbours onside.",6,false
community-compost-s08,community-compost,8,Distribute finished compost,Hold a compost giveaway day for members and the local community garden.,3,false
tool-library-s01,tool-library,1,Validate demand and model,Survey the neighbourhood on desired items and willingness to pay a small membership fee.,5,true
tool-library-s02,tool-library,2,Find a home for the collection,"Secure a small storage space with public access hours — a shop corner, cellar or container.",6,false
tool-library-s03,tool-library,3,Sort legal structure and insurance,"Set up a simple association, liability terms for borrowers and insurance for the inventory.",8,true
tool-library-s04,tool-library,4,Collect and catalogue inventory,"Run a donation drive for quality tools; test, tag and catalogue each item.",10,false
tool-library-s05,tool-library,5,Set up a booking system,Deploy lightweight lending software (several open-source options exist) with member accounts and due dates.,6,true
tool-library-s06,tool-library,6,Recruit and train volunteer librarians,Build a rota of volunteers to staff opening hours and check items in/out.,5,true
tool-library-s07,tool-library,7,Launch with an open day,"Hold a launch event with demos, sign-ups and a tool amnesty for more donations.",5,false
tool-library-s08,tool-library,8,Establish maintenance routines,Set up repair days for damaged items and periodic inventory checks.,3,false
community-fridge-s01,community-fridge,1,Find a host location,"Secure a sheltered, accessible spot with power — outside a shop, community centre or church.",6,true
community-fridge-s02,community-fridge,2,Clarify food-safety rules,"Define what may be shared (no raw meat/fish, date rules) following established community-fridge guidelines.",4,true
community-fridge-s03,community-fridge,3,Source a fridge and shelter,Get a donated or cheap reliable fridge and build a simple weatherproof housing if outdoors.,5,false
community-fridge-s04,community-fridge,4,Recruit fridge stewards,"Build a rota of volunteers for daily checks, cleaning and temperature logging.",4,true
community-fridge-s05,community-fridge,5,Onboard food donors,"Sign up nearby bakeries, shops and households as regular contributors.",5,true
community-fridge-s06,community-fridge,6,Launch and publicise,"Open with clear signage on rules, and publicise so both givers and takers feel welcome.",4,false
community-fridge-s07,community-fridge,7,Monitor and adapt,"Track usage and hygiene, fix problems fast and share impact numbers monthly.",3,true
food-rescue-s01,food-rescue,1,Map donors and recipients,"List potential food donors (bakeries, supermarkets, caterers) and recipients (shelters, fridges, food banks).",5,true
food-rescue-s02,food-rescue,2,Agree donation terms,"Sign simple agreements covering pickup times, food types and liability with each donor.",6,true
food-rescue-s03,food-rescue,3,Design safe transport routine,"Plan routes, cool boxes and hygiene rules so food stays safe in transit.",4,true
food-rescue-s04,food-rescue,4,Recruit rescue riders/drivers,Build a pool of volunteers with bikes or cars who each take one short weekly slot.,5,true
food-rescue-s05,food-rescue,5,Set up shift scheduling,Use a simple scheduling tool so every pickup slot is reliably covered or escalated.,3,true
food-rescue-s06,food-rescue,6,Run a pilot month,"Operate 2-3 routes for a month, log weights and iron out timing problems.",8,false
food-rescue-s07,food-rescue,7,Scale and report,"Add donors and routes, and publish monthly kilograms rescued to keep partners engaged.",4,true
repair-skills-course-s01,repair-skills-course,1,Design the curriculum,Define 4-6 sessions with clear skills outcomes per session and required materials.,6,true
repair-skills-course-s02,repair-skills-course,2,Recruit instructors,Find skilled repairers able to teach each module; agree dates and any stipends.,5,true
repair-skills-course-s03,repair-skills-course,3,Book workshop venue,"Secure a space with workbenches, power and tool storage for the series.",3,false
repair-skills-course-s04,repair-skills-course,4,Source practice materials,Collect broken donor devices/garments for participants to practise on.,4,false
repair-skills-course-s05,repair-skills-course,5,Recruit participants,Open registration with a small commitment fee to reduce no-shows.,4,true
repair-skills-course-s06,repair-skills-course,6,Deliver the sessions,"Run each session with demos, guided practice and safety supervision.",15,false
repair-skills-course-s07,repair-skills-course,7,Graduate fixers into repair cafés,Connect graduates to local repair cafés as volunteer fixers.,2,true
school-garden-s01,school-garden,1,Win school buy-in,Pitch the programme to the head and 1-2 champion teachers; agree goals and responsibilities.,6,true
school-garden-s02,school-garden,2,Design an age-appropriate garden,"Plan raised beds, safe tools and crops that fruit within school terms.",5,true
school-garden-s03,school-garden,3,Fund the build,"Raise a small budget through the parents' association, local sponsors or a mini-grant.",6,true
school-garden-s04,school-garden,4,Build with the school community,Run a family build day to construct beds and fill soil.,8,false
school-garden-s05,school-garden,5,Create simple lesson links,Prepare seasonal activity sheets linking garden tasks to the curriculum.,6,true
school-garden-s06,school-garden,6,Support the first growing year,"Mentor teachers through sowing, care and harvest across the school year.",12,false
school-garden-s07,school-garden,7,Plan holiday care and handover,Set up a holiday watering rota and progressively hand ownership to the school.,3,true
tree-planting-s01,tree-planting,1,Identify planting sites,"Survey the neighbourhood for viable spots considering utilities, sightlines and space for mature trees.",6,false
tree-planting-s02,tree-planting,2,Get municipal approval and species advice,Work with the city's green department on permissions and climate-adapted native species.,8,true
tree-planting-s03,tree-planting,3,Fund the trees,"Cost saplings, stakes and soil; raise funds via sponsorship (e.g. adopt-a-tree) or grants.",6,true
tree-planting-s04,tree-planting,4,Recruit resident tree stewards,Sign up nearby residents to water and watch over specific trees for the first two summers.,4,true
tree-planting-s05,tree-planting,5,Organise the planting day,"Coordinate delivery, tools, pit preparation and a correct-planting demo.",6,false
tree-planting-s06,tree-planting,6,Plant and celebrate,"Plant with residents, mulch and stake properly, and mark the day with the neighbourhood.",6,false
tree-planting-s07,tree-planting,7,Run the aftercare programme,Coordinate watering reminders and check-ups through the critical establishment period.,4,true
bulk-buying-group-s01,bulk-buying-group,1,Form the founding group,Gather 8-15 households and agree product priorities and order frequency.,4,true
bulk-buying-group-s02,bulk-buying-group,2,Select suppliers,"Research wholesalers and producers offering bulk, low-packaging staples at good prices.",6,true
bulk-buying-group-s03,bulk-buying-group,3,Set up ordering and payments,Create a shared order sheet and a transparent payment/settlement process.,4,true
bulk-buying-group-s04,bulk-buying-group,4,Organise distribution point,"Arrange a garage or community room for delivery, splitting and pickup.",3,false
bulk-buying-group-s05,bulk-buying-group,5,Run the first order cycle,"Collect orders, place the bulk order, split goods into member portions and settle payments.",6,false
bulk-buying-group-s06,bulk-buying-group,6,Refine and formalise,Review pricing and effort after 2-3 cycles; agree roles and a small margin for shared costs.,3,true
lift-sharing-s01,lift-sharing,1,Define the community and routes,"Pick a bounded community with repeated journeys (commutes, training sessions, school runs).",3,true
lift-sharing-s02,lift-sharing,2,Choose a matching mechanism,"Select a simple tool — an existing carpool app, a group chat with pinned routes, or a shared sheet.",4,true
lift-sharing-s03,lift-sharing,3,Set ground rules,"Agree cost-sharing norms, reliability expectations and insurance basics for drivers.",3,true
lift-sharing-s04,lift-sharing,4,Recruit a critical mass,Sign up enough drivers and riders on the core routes for matches to actually occur.,6,true
lift-sharing-s05,lift-sharing,5,Launch and seed the first matches,Manually broker the first pairings so early users experience success.,4,true
lift-sharing-s06,lift-sharing,6,Monitor and celebrate savings,Track shared rides and publicise kilometres and CO2 saved to sustain participation.,3,true
walking-school-bus-s01,walking-school-bus,1,Partner with the school,Get school endorsement and help contacting interested families.,4,true
walking-school-bus-s02,walking-school-bus,2,Design safe routes and stops,"Map 1-3 walking routes with timed pickup stops, avoiding dangerous crossings.",5,false
walking-school-bus-s03,walking-school-bus,3,Recruit parent walkers,Sign up enough adult volunteers for a reliable rota with backups.,5,true
walking-school-bus-s04,walking-school-bus,4,Set safety protocol,"Agree adult-child ratios, registration procedure, absence handling and bad-weather rules.",3,true
walking-school-bus-s05,walking-school-bus,5,Pilot for two weeks,"Run the routes daily, adjust timings and fix pain points.",8,false
walking-school-bus-s06,walking-school-bus,6,Formalise the rota,Move to a stable schedule with a coordinator per route and a substitution system.,3,true
textile-upcycling-s01,textile-upcycling,1,Recruit sewing instructors,Find 2-3 skilled sewists/designers to lead project-based sessions.,4,true
textile-upcycling-s02,textile-upcycling,2,Secure machines and space,Book a venue and source 6-10 working sewing machines (borrowed or donated).,6,false
textile-upcycling-s03,textile-upcycling,3,Collect donor textiles,Run a textile donation drive and sort usable fabric by type.,4,false
textile-upcycling-s04,textile-upcycling,4,Design beginner-friendly projects,"Prepare 3-4 projects (tote from jeans, patchwork cushion) with patterns and steps.",5,true
textile-upcycling-s05,textile-upcycling,5,Promote and register participants,Market the series and manage sign-ups sized to machine availability.,3,true
textile-upcycling-s06,textile-upcycling,6,Deliver the workshops,Teach the sessions with per-machine support and safety guidance.,12,false
textile-upcycling-s07,textile-upcycling,7,Showcase results,Hold a small exhibition or online gallery of finished pieces to recruit the next cohort.,2,true
plant-based-cooking-club-s01,plant-based-cooking-club,1,Find a kitchen venue,Book a community kitchen or rotate between members' homes for monthly sessions.,3,false
plant-based-cooking-club-s02,plant-based-cooking-club,2,Set the format,"Agree the model: shared cost, rotating menu themes, and one host-cook per session.",2,true
plant-based-cooking-club-s03,plant-based-cooking-club,3,Plan seasonal menus,Draft simple seasonal menus with shopping lists sized per group.,3,true
plant-based-cooking-club-s04,plant-based-cooking-club,4,Recruit members,"Invite a mixed group and emphasise the food-first, non-preachy framing.",3,true
plant-based-cooking-club-s05,plant-based-cooking-club,5,Host the first sessions,"Cook and eat together, sharing techniques and recipe cards.",8,false
plant-based-cooking-club-s06,plant-based-cooking-club,6,Publish the recipe collection,Compile tested recipes into a shared booklet or webpage for wider reach.,3,true
green-map-s01,green-map,1,Define categories and coverage area,"Agree the directory scope: repair, reuse, refill, sharing, food rescue.",2,true
green-map-s02,green-map,2,Crowdsource and research entries,Split the area among volunteers to research and verify entries by phone or visit.,10,true
green-map-s03,green-map,3,Build the map,Publish entries on an open map platform with categories and descriptions.,6,true
green-map-s04,green-map,4,Verify with listed businesses,Contact each business to confirm details and permission to be listed.,4,true
green-map-s05,green-map,5,Design a printable version,Create a printable one-page map/flyer for libraries and cafés.,4,true
green-map-s06,green-map,6,Launch and maintain,Promote the map and set a twice-yearly verification routine.,3,true
play-street-s01,play-street,1,Build resident support,Door-knock the street to gather signatures supporting a temporary closure.,5,false
play-street-s02,play-street,2,Apply for the street closure permit,Navigate the municipal permit process including traffic plan and notification requirements.,8,true
play-street-s03,play-street,3,Plan activities and safety,"Organise games, chalk zones, a shared table, and barriers/marshals for the closure points.",4,true
play-street-s04,play-street,4,Borrow equipment,"Source barriers, signage, games and furniture from the municipality and neighbours.",3,false
play-street-s05,play-street,5,Promote to the whole street,Letterbox every household with the date and how to get involved.,3,false
play-street-s06,play-street,6,Run the day,"Manage setup, marshals, activities and teardown.",8,false
play-street-s07,play-street,7,Gather momentum,Survey attendees on making it regular and share results with the municipality.,2,true
draft-proofing-brigade-s01,draft-proofing-brigade,1,Define the measure kit,"Choose safe, high-impact measures: draft strips, radiator foil, LED swaps, thermostat guidance.",4,true
draft-proofing-brigade-s02,draft-proofing-brigade,2,Train the brigade,"Run a hands-on training day covering measures, measurement and respectful home visits.",6,false
draft-proofing-brigade-s03,draft-proofing-brigade,3,Fund the materials,"Buy kits in bulk via a small grant, sponsorship or cost-price contributions.",4,true
draft-proofing-brigade-s04,draft-proofing-brigade,4,Recruit households,Prioritise energy-poor households via community organisations and simple sign-up.,5,true
draft-proofing-brigade-s05,draft-proofing-brigade,5,Set visit protocol,"Agree two-person visits, consent forms, and what the brigade will and won't touch (no gas/mains).",3,true
draft-proofing-brigade-s06,draft-proofing-brigade,6,Run visit rounds,"Schedule and complete home visits, logging measures installed per home.",12,false
draft-proofing-brigade-s07,draft-proofing-brigade,7,Measure and report savings,Estimate energy/cost savings per home and report results to funders and community.,3,true
hard-to-recycle-points-s01,hard-to-recycle-points,1,Identify recyclable streams and takers,Research which hard-to-recycle streams have genuine local recycling routes and confirm the receivers.,5,true
hard-to-recycle-points-s02,hard-to-recycle-points,2,Recruit host locations,"Sign up cafés, shops and offices willing to host labelled collection boxes.",5,true
hard-to-recycle-points-s03,hard-to-recycle-points,3,Design and place boxes,"Create clearly labelled, tidy collection boxes with accepted-items graphics.",4,false
hard-to-recycle-points-s04,hard-to-recycle-points,4,Organise the emptying rota,Set volunteer routes to empty boxes and deliver materials to recyclers monthly.,3,true
hard-to-recycle-points-s05,hard-to-recycle-points,5,Publicise the network,Publish a map of points and what each accepts.,3,true
hard-to-recycle-points-s06,hard-to-recycle-points,6,Track volumes and expand,"Log collected volumes, drop dead streams, add popular ones and new locations.",3,true
battery-awareness-campaign-s01,battery-awareness-campaign,1,Map official drop-off points,Compile every local battery/bulb return point into a simple map.,3,true
battery-awareness-campaign-s02,battery-awareness-campaign,2,Create campaign materials,"Design posters and a one-pager explaining why and where, in plain language.",4,true
battery-awareness-campaign-s03,battery-awareness-campaign,3,Distribute through local channels,"Place materials in shops, schools and building lobbies; post in neighbourhood groups.",4,false
battery-awareness-campaign-s04,battery-awareness-campaign,4,Run a collection booster week,Pair the campaign with a one-week household amnesty drive at a visible point.,5,false
battery-awareness-campaign-s05,battery-awareness-campaign,5,Report results,Share collected volumes and keep the map alive as a lasting resource.,2,true
guerrilla-gardening-s01,guerrilla-gardening,1,Scout neglected spots,"Identify tree pits, verges and abandoned planters where planting would be welcomed.",3,false
guerrilla-gardening-s02,guerrilla-gardening,2,Check the legal position,Understand local rules; where possible seek informal blessing from the municipality to avoid removal.,2,true
guerrilla-gardening-s03,guerrilla-gardening,3,Choose hardy native plants,"Select drought-tolerant, non-invasive natives that survive neglect.",2,true
guerrilla-gardening-s04,guerrilla-gardening,4,Make seed bombs together,Host a fun seed-bomb-making session as a recruitment activity.,3,false
guerrilla-gardening-s05,guerrilla-gardening,5,Plant and adopt spots,Plant the sites and have each participant adopt one spot for occasional watering.,4,false
second-hand-market-s01,second-hand-market,1,Secure venue and permit,"Book a square, hall or street section and obtain the market permit.",6,true
second-hand-market-s02,second-hand-market,2,Recruit sellers,Open stall registration with a small fee covering costs.,4,true
second-hand-market-s03,second-hand-market,3,Plan site layout and logistics,"Map stall pitches, access, waste stations and wet-weather plan.",4,true
second-hand-market-s04,second-hand-market,4,Promote to buyers,"Publicise through posters, socials and local press for footfall.",4,true
second-hand-market-s05,second-hand-market,5,Run the market day,"Manage setup, stall allocation, visitors and teardown.",8,false
second-hand-market-s06,second-hand-market,6,Handle unsold goods,Offer a donation point so unsold items go to charity rather than home or bin.,2,false
climate-quiz-night-s01,climate-quiz-night,1,Partner with a venue,Agree a quiet-night slot with a pub or café that benefits from the crowd.,2,true
climate-quiz-night-s02,climate-quiz-night,2,Write the quiz,"Create fun, surprising rounds that inform without lecturing.",4,true
