blueprint_slug,title,summary,category,tier,appeal,effort,estimated_duration_weeks,step_count,total_estimated_hours
hard-to-recycle-points,Hard-to-Recycle Collection Point Network,"A network of drop-off boxes in shops and cafés for items kerbside recycling doesn't take (corks, pens, blister packs).",waste-circular-economy,2,medium,low,12,6,23
battery-awareness-campaign,Battery & Lightbulb Recycling Awareness Campaign,A local campaign making sure households know where and how to recycle batteries and bulbs.,waste-circular-economy,3,low,low,8,5,18
guerrilla-gardening,Guerrilla Gardening / Seed Bombing,Beautify neglected urban spots with low-maintenance native planting.,biodiversity-nature,3,medium,low,6,5,14
second-hand-market,Second-Hand Market,Organise a neighbourhood flea market focused on reuse.,waste-circular-economy,3,medium,medium,10,6,28
climate-quiz-night,Climate-Themed Pub Quiz / Games Night,A fun social quiz night that builds community around climate topics.,education-community,3,medium,low,4,5,14
sustainability-newsletter,Local Sustainability Newsletter / Blog,"A regular publication covering local green initiatives, events and how-tos.",education-community,3,low,low,12,5,20
swap-board,Neighbourhood Swap Board,A physical or digital board where neighbours offer and request items and favours.,education-community,3,low,low,6,5,13
solar-cooperative,Solar Cooperative / Community Solar Purchase Group,Organise collective purchasing or cooperative ownership of solar installations for local roofs.,energy,4,high,high,52,10,127
community-renewable,Community-Owned Renewable on Public Buildings,"Develop a citizen-financed solar installation on a school, gym or civic roof, with the municipality as host.",energy,4,high,high,78,8,120
energy-audit-service,Home Energy Audit Volunteer Service,Trained volunteers provide free walk-through energy assessments with prioritised recommendations for households.,energy,4,medium,high,26,7,72
rain-garden,Rain Garden / Depaving Project,Remove unnecessary paving and create a rain garden that absorbs stormwater and supports biodiversity.,built-environment,4,medium,high,26,7,59
green-roof-pilot,Green Roof / Facade Pilot on a Community Building,Install a demonstration green roof or climbing facade on a community-owned building.,built-environment,4,medium,high,39,7,62
air-quality-network,Citizen Air Quality Monitoring Network,Deploy low-cost sensors across the neighbourhood and publish open air-quality data.,built-environment,4,medium,high,26,7,48
stream-restoration,Stream / River Restoration Project,"Work with authorities to restore a degraded stream section: banks, vegetation and habitat.",biodiversity-nature,4,medium,high,52,7,77
wildlife-corridor,Hedgerow / Wildlife Corridor Planting,Connect fragmented habitats by planting native hedgerows across cooperating properties.,biodiversity-nature,4,medium,high,39,7,62
community-orchard,Community Orchard,Plant and steward a shared orchard of local fruit varieties on public or leased land.,food-agriculture,4,high,high,52,7,56
sme-sustainability-audit,SME Sustainability Audit Service,Skilled volunteers help small local businesses assess and cut their environmental footprint.,education-community,4,medium,high,26,7,63
cargo-bike-share,Cargo Bike Sharing Scheme,Provide shared cargo bikes so households can move kids and goods without a car.,mobility,4,medium,high,26,8,51
climate-advocacy-group,Local Climate Advocacy Group / Citizens' Assembly Push,Organise residents to advocate for concrete municipal climate policies or a local citizens' assembly.,education-community,4,medium,high,52,7,68
