step_slug,language,title,description
litter-pick-s07,fr-CH,Réaliser le nettoyage,"Enregistrer les participant·e·s, les briefer, attribuer les zones et coordonner les points de collecte pendant l'événement."
litter-pick-s07,de-CH,Sammelaktion durchführen,"Teilnehmende registrieren und briefen, Zonen zuteilen und Sammelpunkte während des Anlasses koordinieren."
litter-pick-s08,fr-CH,Documenter et partager les résultats,"Peser ou compter les sacs, photographier la récolte et remercier publiquement les bénévoles pour préparer la prochaine édition."
litter-pick-s08,de-CH,Ergebnisse dokumentieren und teilen,"Säcke wägen oder zählen, die Ausbeute fotografieren und den Freiwilligen öffentlich danken, um Schwung für die nächste Aktion aufzubauen."
repair-cafe-s01,fr-CH,Définir le périmètre et le format,"Décider des catégories de réparation proposées au départ (p. ex. électronique, textile, vélos) et du nombre de visiteurs visé."
repair-cafe-s01,de-CH,Umfang und Format definieren,"Entscheiden, welche Reparaturkategorien zuerst angeboten werden (z. B. Elektronik, Textilien, Velos) und wie viele Besuchende erwartet werden."
repair-cafe-s02,fr-CH,Recruter des réparateur·trice·s bénévoles,"Trouver 4 à 8 personnes qualifiées via les associations locales, fablabs et réseaux de retraité·e·s; confirmer leurs spécialités."
repair-cafe-s02,de-CH,Freiwillige Reparierende gewinnen,"4–8 versierte Reparierende über Quartiervereine, Makerspaces und Seniorennetzwerke finden; ihre Fachgebiete bestätigen."
repair-cafe-s03,fr-CH,Trouver un lieu,"Réserver une salle communale ou un café avec tables, prises électriques et bon éclairage pour une demi-journée."
repair-cafe-s03,de-CH,Lokal sichern,"Einen Gemeindesaal oder ein Café mit Tischen, Steckdosen und guter Beleuchtung für einen halben Tag buchen."
repair-cafe-s04,fr-CH,Régler assurance et responsabilité,Vérifier la couverture responsabilité civile du lieu et préparer un formulaire de décharge simple pour les visiteurs.
repair-cafe-s04,de-CH,Versicherung und Haftung klären,Die Haftpflichtdeckung des Lokals prüfen und ein einfaches Haftungsausschluss-Formular für Besuchende vorbereiten.
repair-cafe-s05,fr-CH,Rassembler outils et pièces détachées,"Réunir boîtes à outils, multimètres, machines à coudre et pièces courantes; demander aux réparateur·trice·s ce dont ils ont besoin."
repair-cafe-s05,de-CH,Werkzeug und Ersatzteile zusammenstellen,"Werkzeugkoffer, Multimeter, Nähmaschinen und gängige Ersatzteile sammeln; die Reparierenden nach ihrem Bedarf fragen."
repair-cafe-s06,fr-CH,Faire la promotion locale,"Concevoir une affiche, inscrire l'événement dans les agendas locaux et inviter à annoncer les objets à réparer à l'avance."
repair-cafe-s06,de-CH,Lokal bewerben,"Ein Plakat gestalten, den Anlass in lokalen Veranstaltungskalendern eintragen und zur Voranmeldung von Gegenständen einladen."
repair-cafe-s07,fr-CH,Animer l'événement,"Gérer l'accueil, orienter les visiteurs vers la bonne personne et consigner chaque objet et son issue."
repair-cafe-s07,de-CH,Anlass durchführen,"Den Empfang betreuen, Besuchende der richtigen Fachperson zuweisen und jeden Gegenstand samt Ergebnis erfassen."
repair-cafe-s08,fr-CH,Consigner les réparations et assurer le suivi,"Enregistrer les statistiques (objets réparés, déchets évités), remercier les bénévoles et annoncer la prochaine date."
repair-cafe-s08,de-CH,Reparaturen erfassen und nachfassen,"Reparaturstatistik festhalten (reparierte Gegenstände, vermiedener Abfall), den Reparierenden danken und den nächsten Termin ankündigen."
clothing-swap-s01,fr-CH,Définir le format et les règles,"Décider du mécanisme d'échange (jeton par article ou libre-service), des critères de qualité et des limites par personne."
clothing-swap-s01,de-CH,Format und Regeln festlegen,"Den Tauschmechanismus (Jeton pro Stück oder freie Mitnahme), Qualitätsstandards und Mengenlimiten festlegen."
clothing-swap-s02,fr-CH,Réserver un lieu,"Trouver un espace gratuit ou bon marché avec tables, miroirs et coin d'essayage."
clothing-swap-s02,de-CH,Lokal buchen,"Einen kostenlosen oder günstigen Raum mit Tischen, Spiegeln und Umkleideecke finden."
clothing-swap-s03,fr-CH,Promouvoir et gérer les inscriptions,Communiquer via réseaux sociaux et affiches; utiliser un formulaire simple pour estimer la fréquentation.
clothing-swap-s03,de-CH,Bewerben und Anmeldungen verwalten,Über Social Media und Plakate bekannt machen; mit einem einfachen Anmeldeformular die Besucherzahl abschätzen.
clothing-swap-s04,fr-CH,Organiser la réception et le tri,"Planifier l'enregistrement des articles, le contrôle qualité et la présentation par taille et par type."
clothing-swap-s04,de-CH,Annahme und Sortierung organisieren,"Planen, wie Stücke angenommen, auf Qualität geprüft und nach Grösse und Art präsentiert werden."
clothing-swap-s05,fr-CH,Animer le troc,"Tenir le comptoir de réception, garder les portants en ordre et gérer le système de jetons pendant l'événement."
clothing-swap-s05,de-CH,Tauschbörse durchführen,"Den Annahmetisch betreuen, die Kleiderständer ordentlich halten und das Jetonsystem während des Anlasses handhaben."
clothing-swap-s06,fr-CH,Gérer les invendus de manière responsable,Organiser le don des articles restants à une boutique caritative ou à un recycleur textile.
clothing-swap-s06,de-CH,Übrig Gebliebenes verantwortungsvoll weitergeben,Nicht abgeholte Stücke an einen Secondhand-Laden oder ein Textilrecycling spenden.
seed-plant-swap-s01,fr-CH,Choisir la saison et le lieu,"Planifier au début du printemps ou en automne et réserver une salle, un coin de marché ou un jardin communautaire."
seed-plant-swap-s01,de-CH,Saison und Ort wählen,"Für Frühjahr oder Herbst planen und einen Saal, eine Marktecke oder einen Gemeinschaftsgarten buchen."
seed-plant-swap-s02,fr-CH,Fixer les règles d'échange,"Rédiger des règles simples sur l'étiquetage, les espèces envahissantes à exclure et le conditionnement des graines."
seed-plant-swap-s02,de-CH,Tauschregeln festlegen,"Einfache Regeln zu Beschriftung, auszuschliessenden invasiven Arten und Samenverpackung verfassen."
seed-plant-swap-s03,fr-CH,Recruter des jardinier·ère·s expérimenté·e·s,Inviter 2 à 3 personnes compétentes pour répondre aux questions et identifier les plantes le jour J.
seed-plant-swap-s03,de-CH,Erfahrene Gartenprofis gewinnen,"2–3 kundige Personen einladen, die am Anlass Fragen beantworten und Pflanzen bestimmen."
seed-plant-swap-s04,fr-CH,Promouvoir auprès des réseaux de jardinage,"Diffuser dans les associations de jardins familiaux, les groupes de jardinage de balcon et les médias locaux."
seed-plant-swap-s04,de-CH,In Gartennetzwerken bewerben,"In Familiengartenvereinen, Balkongarten-Gruppen und lokalen Medien teilen."
seed-plant-swap-s05,fr-CH,Animer la bourse,"Installer des tables étiquetées par type de plante, gérer la réception et faire vivre l'échange."
seed-plant-swap-s05,de-CH,Tauschbörse durchführen,"Beschriftete Tische nach Pflanzenart aufstellen, die Annahme organisieren und den Tausch am Laufen halten."
seed-plant-swap-s06,fr-CH,Fidéliser la communauté,Recueillir les contacts des personnes intéressées par une bourse récurrente ou un futur jardin communautaire.
seed-plant-swap-s06,de-CH,Community binden,"Kontakte von Teilnehmenden sammeln, die eine regelmässige Börse oder einen künftigen Gemeinschaftsgarten möchten."
beach-lake-cleanup-s01,fr-CH,Choisir le site et la fenêtre météo,Sélectionner un tronçon de rive accessible et une date avec solution de repli en cas de mauvais temps.
beach-lake-cleanup-s01,de-CH,Uferabschnitt und Wetterfenster wählen,Einen gut zugänglichen Uferabschnitt und ein Datum mit Ausweichtermin bei schlechtem Wetter festlegen.
beach-lake-cleanup-s02,fr-CH,Se coordonner avec les autorités,"Informer la commune ou l'autorité du lac, confirmer les règles d'accès et l'enlèvement des déchets."
beach-lake-cleanup-s02,de-CH,Mit Behörden koordinieren,"Gemeinde oder Seeverwaltung informieren, Zugangsregeln und Abfallabholung bestätigen."
beach-lake-cleanup-s03,fr-CH,Planifier la collecte de données,Adopter un protocole simple de recensement des déchets pour que le nettoyage alimente la recherche sur les déchets aquatiques.
beach-lake-cleanup-s03,de-CH,Abfalldatenerhebung planen,"Ein einfaches Abfall-Erhebungsprotokoll übernehmen, damit die Reinigung Daten für die Gewässerabfall-Forschung liefert."
beach-lake-cleanup-s04,fr-CH,Rassembler matériel et équipement de sécurité,"Se procurer gants, sacs, seaux de tri et équipement de protection solaire et aquatique."
beach-lake-cleanup-s04,de-CH,Ausrüstung und Sicherheitsmaterial beschaffen,"Handschuhe, Säcke, Sortierkübel sowie Sonnen- und Wassersicherheitsausrüstung organisieren."
beach-lake-cleanup-s05,fr-CH,Promouvoir l'événement,Communiquer avec des photos avant du site; s'associer aux clubs nautiques locaux.
beach-lake-cleanup-s05,de-CH,Anlass bewerben,Mit aussagekräftigen Vorher-Fotos werben; mit lokalen Wassersportvereinen zusammenspannen.
beach-lake-cleanup-s06,fr-CH,Nettoyer et trier les déchets,"Briefer les bénévoles, attribuer les zones et trier les déchets collectés entre recyclables et incinérables."
beach-lake-cleanup-s06,de-CH,Reinigen und Abfall sortieren,"Freiwillige briefen, Zonen zuteilen und den gesammelten Abfall in Wertstoffe und Restmüll trennen."
beach-lake-cleanup-s07,fr-CH,Publier les résultats,"Transmettre les données, publier totaux et photos, et remercier partenaires et bénévoles."
beach-lake-cleanup-s07,de-CH,Resultate melden,"Abfalldaten einreichen, Totale und Fotos veröffentlichen sowie Partnern und Freiwilligen danken."
fruit-rescue-s01,fr-CH,Recenser les arbres et recruter les propriétaires,"Inviter les propriétaires à annoncer les arbres qu'ils ne peuvent pas récolter; noter emplacement, espèce et période de maturité."
fruit-rescue-s01,de-CH,Obstbäume erfassen und Baumbesitzer gewinnen,"Eigentümer einladen, Bäume zu melden, die sie nicht ernten können; Standort, Sorte und Reifezeit erfassen."
fruit-rescue-s02,fr-CH,Fixer l'accord de partage,"Définir la répartition (p. ex. un tiers propriétaire, cueilleurs, entraide) et une décharge simple pour l'usage d'échelles."
fruit-rescue-s02,de-CH,Teilungsvereinbarung festlegen,"Die Aufteilung definieren (z. B. je ein Drittel für Eigentümer, Pflückende, Hilfswerk) und einen einfachen Haftungsausschluss für Leiterarbeit erstellen."
fruit-rescue-s03,fr-CH,Rassembler le matériel de récolte,"Se procurer échelles, sacs de cueillette, caisses et cueille-fruits; organiser le stockage entre les récoltes."
fruit-rescue-s03,de-CH,Erntematerial beschaffen,"Leitern, Pflücksäcke, Harassen und Obstpflücker organisieren; Lagerung zwischen den Ernten regeln."
fruit-rescue-s04,fr-CH,Recruter et planifier les cueilleur·euse·s,Constituer une liste de bénévoles et affecter de petites équipes aux arbres au fil de la maturité.
fruit-rescue-s04,de-CH,Pflückende gewinnen und einteilen,Eine Liste Freiwilliger aufbauen und kleine Teams den Bäumen nach Reifezeitpunkt zuteilen.
fruit-rescue-s05,fr-CH,Mener les sessions de récolte,"Encadrer des cueillettes sûres, peser la récolte et la répartir selon l'accord."
fruit-rescue-s05,de-CH,Ernteeinsätze durchführen,"Sichere Pflückeinsätze leiten, die Ernte wägen und gemäss Vereinbarung aufteilen."
fruit-rescue-s06,fr-CH,Distribuer le surplus,Livrer la part solidaire à une banque alimentaire ou un frigo partagé et consigner les totaux.
fruit-rescue-s06,de-CH,Überschuss verteilen,Den Hilfswerk-Anteil an eine Abgabestelle oder einen offenen Kühlschrank liefern und die Mengen erfassen.
disco-soup-s01,fr-CH,Sécuriser les sources d'invendus,"Convenir avec supermarchés, boulangeries ou marchés du don de produits invendables mais consommables."
disco-soup-s01,de-CH,Quellen für überschüssige Lebensmittel sichern,"Mit Supermärkten, Bäckereien oder Märkten vereinbaren, unverkäufliche, aber einwandfreie Ware zu spenden."
disco-soup-s02,fr-CH,Réserver un lieu avec cuisine,"Trouver une place publique ou une salle avec équipement de cuisine, eau et électricité."
disco-soup-s02,de-CH,Lokal mit Küchenzugang buchen,"Einen öffentlichen Platz oder Saal mit Kochgelegenheit, Wasser und Strom finden."
disco-soup-s03,fr-CH,Planifier le menu et le protocole d'hygiène,Concevoir des recettes flexibles pour des ingrédients imprévisibles et fixer les règles d'hygiène pour les bénévoles.
disco-soup-s03,de-CH,Menü und Hygienekonzept planen,Flexible Rezepte für unvorhersehbare Zutaten entwerfen und Lebensmittelhygiene-Regeln für Freiwillige festlegen.
disco-soup-s04,fr-CH,Recruter les bénévoles et un·e chef·fe,"Trouver un·e cuisinier·ère expérimenté·e pour diriger, plus 6 à 10 personnes pour couper, cuisiner et servir."
disco-soup-s04,de-CH,Kochfreiwillige und Küchenleitung gewinnen,"Eine erfahrene Kochperson für die Leitung sowie 6–10 Helfende fürs Rüsten, Kochen und Servieren finden."
disco-soup-s05,fr-CH,Promouvoir comme fête publique,"Communiquer comme une fête engagée: musique, repas gratuit et message contre le gaspillage alimentaire."
disco-soup-s05,de-CH,Als festlichen öffentlichen Anlass bewerben,"Als Fest mit Sinn vermarkten: Musik, Gratisessen und eine Botschaft gegen Food Waste."
disco-soup-s06,fr-CH,Animer l'événement,"Coordonner la collecte des aliments, la préparation collective, le service et l'ambiance le jour J."
disco-soup-s06,de-CH,Anlass durchführen,"Lebensmittelabholung, gemeinsames Zubereiten, Ausgabe und Stimmung am Tag koordinieren."
disco-soup-s07,fr-CH,Partager l'impact,Publier les kilos d'aliments sauvés et les portions servies; remercier visiblement les donateurs.
disco-soup-s07,de-CH,Wirkung teilen,Gerettete Kilogramm und servierte Portionen veröffentlichen; die Lebensmittelspender sichtbar würdigen.
book-toy-swap-s01,fr-CH,Choisir le lieu et le format,"Réserver une bibliothèque, une salle d'école ou un café et fixer les règles d'échange et les critères de qualité."
book-toy-swap-s01,de-CH,Ort und Format wählen,"Eine Bibliothek, Schulaula oder ein Café buchen und Tauschregeln sowie Qualitätsstandards festlegen."
book-toy-swap-s02,fr-CH,Promouvoir auprès des familles,"Toucher les parents via écoles, crèches et groupes de quartier."
book-toy-swap-s02,de-CH,Bei Familien bewerben,"Eltern über Schulen, Kitas und Quartiergruppen erreichen."
book-toy-swap-s03,fr-CH,Organiser la réception et la présentation,Prévoir le contrôle qualité et le classement des articles par âge et par catégorie.
book-toy-swap-s03,de-CH,Annahme und Präsentation organisieren,Qualitätskontrolle planen und die Artikel nach Altersgruppe und Kategorie ordnen.
book-toy-swap-s04,fr-CH,Animer le troc,"Gérer la réception, garder les présentoirs en ordre et animer un petit coin lecture ou jeu."
book-toy-swap-s04,de-CH,Tauschbörse durchführen,"Annahme betreuen, Auslagen ordentlich halten und eine kleine Lese- oder Spielecke anbieten."
book-toy-swap-s05,fr-CH,Donner les restes,"Transmettre les articles non repris à une œuvre caritative, un hôpital ou une organisation d'aide aux réfugié·e·s."
book-toy-swap-s05,de-CH,Übriges spenden,"Nicht abgeholte Artikel an ein Hilfswerk, Spital oder eine Flüchtlingshilfe-Organisation weitergeben."
ewaste-drive-s01,fr-CH,S'associer à un recycleur certifié,Convenir avec un recycleur agréé ou le service communal de la reprise des objets collectés.
ewaste-drive-s01,de-CH,Mit zertifiziertem Recycler zusammenarbeiten,Mit einem lizenzierten Elektroschrott-Recycler oder der Gemeinde die Übernahme des Sammelguts vereinbaren.
ewaste-drive-s02,fr-CH,Choisir un point de dépôt visible,"Réserver un parking, une cour d'école ou un coin de marché avec accès facile en voiture pour un samedi matin."
ewaste-drive-s02,de-CH,Gut sichtbare Abgabestelle wählen,"Einen Parkplatz, Schulhof oder eine Marktecke mit einfacher Zufahrt für einen Samstagmorgen reservieren."
ewaste-drive-s03,fr-CH,Préparer la communication sur la sécurité des données,Rédiger des conseils pour effacer les données personnelles des appareils avant le don.
ewaste-drive-s03,de-CH,Kommunikation zur Datensicherheit vorbereiten,"Anleitungen erstellen, wie persönliche Daten vor der Abgabe von den Geräten gelöscht werden."
ewaste-drive-s04,fr-CH,Promouvoir avec une liste claire des objets acceptés,Publier précisément ce qui est accepté ou non pour éviter les dépôts sauvages de produits dangereux.
ewaste-drive-s04,de-CH,Mit klarer Liste akzeptierter Artikel werben,"Genau publizieren, was angenommen wird und was nicht, um wilde Ablagerung gefährlicher Gegenstände zu vermeiden."
ewaste-drive-s05,fr-CH,Tenir la collecte,"Assurer la réception, trier selon les catégories du recycleur et manipuler les piles en toute sécurité."
ewaste-drive-s05,de-CH,Sammlung durchführen,"Annahme betreuen, nach Recycler-Kategorien sortieren und Batterien sicher handhaben."
ewaste-drive-s06,fr-CH,Publier le bilan,"Communiquer le poids total collecté et, si possible, les appareils orientés vers le réemploi plutôt que le recyclage."
ewaste-drive-s06,de-CH,Bilanz veröffentlichen,"Das gesammelte Gesamtgewicht publizieren und wenn möglich ausweisen, welche Geräte in die Wiederverwendung statt ins Recycling gehen."
bioblitz-s01,fr-CH,Recruter un·e guide naturaliste,"Trouver un·e écologue, ornithologue ou botaniste local·e prêt·e à guider l'identification."
bioblitz-s01,de-CH,Naturkundige Leitung gewinnen,"Eine lokale Fachperson für Ökologie, Vögel oder Botanik finden, die die Bestimmung anleitet."
bioblitz-s02,fr-CH,Choisir le site et obtenir l'autorisation d'accès,"Sélectionner un parc, une réserve ou une berge et confirmer l'accès en groupe avec le gestionnaire."
bioblitz-s02,de-CH,Ort wählen und Zugangserlaubnis einholen,"Einen Park, ein Schutzgebiet oder ein Ufer wählen und den Gruppenzugang mit der Verwaltung klären."
bioblitz-s03,fr-CH,Configurer l'outil de recensement,Créer un projet d'événement dans une appli de science citoyenne (p. ex. iNaturalist) et préparer un petit guide d'utilisation.
bioblitz-s03,de-CH,Erfassungstool einrichten,Ein Anlassprojekt in einer Citizen-Science-App (z. B. iNaturalist) anlegen und eine Kurzanleitung vorbereiten.
bioblitz-s04,fr-CH,Promouvoir auprès des familles et des écoles,Présenter l'événement comme une chasse au trésor nature; inviter classes et familles.
bioblitz-s04,de-CH,Bei Familien und Schulen bewerben,Als Natur-Schatzsuche vermarkten; Schulklassen und Familien einladen.
bioblitz-s05,fr-CH,Animer le BioBlitz,"Guider la balade, aider à photographier et enregistrer les espèces, et veiller à la sécurité des groupes."
bioblitz-s05,de-CH,BioBlitz durchführen,"Den Rundgang leiten, beim Fotografieren und Erfassen der Arten helfen und die Gruppen sicher führen."
bioblitz-s06,fr-CH,Publier le décompte des espèces,Partager le total final et les découvertes remarquables avec la communauté et le gestionnaire du site.
bioblitz-s06,de-CH,Artenzahl veröffentlichen,Die Endbilanz und bemerkenswerte Funde mit der Community und der Standortverwaltung teilen.
birdhouse-workshop-s01,fr-CH,Concevoir les kits de construction,Choisir des modèles adaptés aux espèces et préparer des listes de découpe pour débutant·e·s.
birdhouse-workshop-s01,de-CH,Bausätze entwerfen,Artgerechte Bauweisen wählen und anfängertaugliche Zuschnittlisten vorbereiten.
birdhouse-workshop-s02,fr-CH,Se procurer matériaux et outils,"Obtenir du bois non traité (idéalement chutes ou dons), vis, perceuses et scies pour le groupe."
birdhouse-workshop-s02,de-CH,Material und Werkzeug beschaffen,"Unbehandeltes Holz (idealerweise Reste oder Spenden), Schrauben, Bohrmaschinen und Sägen für die Gruppe organisieren."
birdhouse-workshop-s03,fr-CH,Réserver un atelier,"Trouver un fablab, un atelier d'école ou un garage avec établis et électricité."
birdhouse-workshop-s03,de-CH,Werkstattraum buchen,"Einen Makerspace, eine Schulwerkstatt oder Garage mit Werkbänken und Strom finden."
birdhouse-workshop-s04,fr-CH,Promouvoir et gérer les inscriptions,Limiter le nombre de participant·e·s selon les outils; cibler familles et propriétaires de jardins.
birdhouse-workshop-s04,de-CH,Bewerben und Anmeldungen entgegennehmen,Die Teilnehmerzahl auf das Werkzeug abstimmen; Familien und Gartenbesitzende ansprechen.
birdhouse-workshop-s05,fr-CH,Animer la session de construction,"Enseigner l'usage sûr des outils, guider l'assemblage et expliquer le bon emplacement de chaque modèle."
birdhouse-workshop-s05,de-CH,Bau-Session durchführen,"Sicheren Werkzeuggebrauch vermitteln, beim Zusammenbau anleiten und die richtige Platzierung jedes Modells erklären."
birdhouse-workshop-s06,fr-CH,Coordonner l'installation,Aider à bien positionner les nichoirs et organiser l'installation de quelques-uns dans les espaces verts publics.
birdhouse-workshop-s06,de-CH,Montage koordinieren,Beim korrekten Aufhängen helfen und die Montage einiger Kästen im öffentlichen Grün organisieren.
give-box-s01,fr-CH,Choisir l'emplacement et obtenir l'autorisation,"Trouver un endroit abrité, visible et accessible, et obtenir l'accord écrit de la commune ou du propriétaire."
give-box-s01,de-CH,Standort wählen und Bewilligung einholen,"Einen geschützten, sichtbaren, gut zugänglichen Ort finden und die schriftliche Zustimmung von Gemeinde oder Eigentümer einholen."
give-box-s02,fr-CH,Concevoir une armoire résistante aux intempéries,Concevoir ou adapter un modèle robuste et étanche avec un espace de signalétique clair.
give-box-s02,de-CH,Wetterfesten Schrank entwerfen,"Ein robustes, regendichtes Design mit klarer Beschriftungsfläche entwerfen oder anpassen."
give-box-s03,fr-CH,Se procurer les matériaux ou une vieille armoire,Obtenir des matériaux donnés ou surcycler une vieille armoire/cabine téléphonique; budgéter l'étanchéification.
give-box-s03,de-CH,Material oder alten Schrank beschaffen,Gespendetes Material besorgen oder einen alten Schrank/eine Telefonkabine umnutzen; Wetterschutz einkalkulieren.
give-box-s04,fr-CH,Construire la boîte,Construire et imperméabiliser l'armoire sur une ou deux journées de bricolage.
give-box-s04,de-CH,Box bauen,Den Schrank an ein bis zwei Bautagen bauen und wetterfest machen.
give-box-s05,fr-CH,Installer et inaugurer,"La fixer solidement, la garnir de premiers objets et marquer l'ouverture avec le voisinage."
give-box-s05,de-CH,Aufstellen und einweihen,"Sicher montieren, mit Startobjekten bestücken und die Eröffnung mit der Nachbarschaft feiern."
give-box-s06,fr-CH,Mettre en place un parrainage léger,Recruter 2 à 3 riverain·e·s pour un rangement hebdomadaire et afficher les règles à l'intérieur.
give-box-s06,de-CH,Leichte Betreuung aufsetzen,"2–3 Anwohnende gewinnen, die wöchentlich aufräumen, und Hausregeln innen anbringen."
pollinator-planting-s01,fr-CH,Identifier un site et obtenir l'accord,"Trouver une bande verte sous-utilisée et obtenir l'autorisation de la commune ou du propriétaire, y compris un accord de fauche réduite."
pollinator-planting-s01,de-CH,Fläche finden und Zustimmung einholen,"Einen wenig genutzten Grünstreifen finden und die Erlaubnis von Gemeinde oder Eigentümer einholen, inklusive Vereinbarung zu reduziertem Mähen."
pollinator-planting-s02,fr-CH,Choisir un mélange de graines indigènes,"Sélectionner un mélange régional favorable aux pollinisateurs, adapté au sol et à l'exposition."
pollinator-planting-s02,de-CH,Einheimische Saatmischung wählen,"Eine regional heimische, bestäuberfreundliche Mischung passend zu Boden und Licht auswählen."
pollinator-planting-s03,fr-CH,Planifier la préparation du terrain,"Déterminer comment le sol sera dégagé et préparé, et quels outils sont nécessaires."
pollinator-planting-s03,de-CH,Bodenvorbereitung planen,"Festlegen, wie die Fläche geräumt und vorbereitet wird und welche Werkzeuge nötig sind."
pollinator-planting-s04,fr-CH,Recruter des bénévoles et promouvoir,Inviter voisin·e·s et familles; présenter le projet comme la création d'une prairie à papillons dans leur rue.
pollinator-planting-s04,de-CH,Freiwillige gewinnen und bewerben,Nachbarschaft und Familien einladen; als Schmetterlingswiese in ihrer Strasse vermarkten.
pollinator-planting-s05,fr-CH,Réaliser la journée de plantation,"Préparer le sol, semer ou planter, arroser et installer un petit panneau explicatif."
pollinator-planting-s05,de-CH,Pflanztag durchführen,"Boden vorbereiten, säen oder Setzlinge pflanzen, angiessen und eine kleine Infotafel aufstellen."
pollinator-planting-s06,fr-CH,Organiser l'entretien,Mettre en place un tournus léger d'arrosage/désherbage pour la phase d'installation et convenir du régime de fauche.
pollinator-planting-s06,de-CH,Nachpflege organisieren,Für die Anwuchszeit einen leichten Giess-/Jätplan aufstellen und das Mähregime vereinbaren.
documentary-night-s01,fr-CH,Choisir le film et obtenir les droits de projection,Sélectionner un film captivant et obtenir une licence de projection publique ou choisir un titre librement diffusable.
documentary-night-s01,de-CH,Film wählen und Vorführrechte sichern,Einen packenden Film auswählen und eine öffentliche Vorführlizenz einholen oder einen frei vorführbaren Titel nutzen.
documentary-night-s02,fr-CH,Réserver un lieu avec projection,"Trouver un café, une bibliothèque ou une salle avec projecteur, son et sièges."
documentary-night-s02,de-CH,Lokal mit Projektion buchen,"Ein Café, eine Bibliothek oder einen Saal mit Beamer, Ton und Bestuhlung finden."
documentary-night-s03,fr-CH,Concevoir le format de discussion,Préparer 3 à 4 questions reliant le film à des options d'action locale concrètes.
documentary-night-s03,de-CH,Diskussionsformat gestalten,"3–4 Diskussionsfragen vorbereiten, die den Film mit konkreten lokalen Handlungsmöglichkeiten verbinden."
documentary-night-s04,fr-CH,Promouvoir la soirée,"Communiquer via les agendas locaux, des affiches et les organisations partenaires."
documentary-night-s04,de-CH,Abend bewerben,"Über lokale Veranstaltungskalender, Plakate und Partnerorganisationen bekannt machen."
documentary-night-s05,fr-CH,Animer la projection et la discussion,"Accueillir le public, lancer la projection et guider la conversation vers des suites concrètes."
documentary-night-s05,de-CH,Vorführung und Diskussion moderieren,"Gäste begrüssen, die Vorführung durchführen und das Gespräch auf nächste Schritte lenken."
documentary-night-s06,fr-CH,Recueillir l'intérêt pour la suite,Collecter les contacts des personnes prêtes à agir et les orienter vers des projets concrets.
documentary-night-s06,de-CH,Interesse für Folgeprojekte sammeln,"Kontakte von Teilnehmenden erfassen, die aktiv werden möchten, und sie mit konkreten Projekten verbinden."
mending-circle-s01,fr-CH,Recruter 1 à 2 mentors couture,"Trouver des raccommodeur·euse·s expérimenté·e·s prêt·e·s à enseigner les bases: reprisage, pièces, boutons."
mending-circle-s01,de-CH,1–2 Näh-Mentorinnen oder -Mentoren gewinnen,"Erfahrene Flickprofis finden, die Grundtechniken wie Stopfen, Flicken und Knopfannähen vermitteln."
mending-circle-s02,fr-CH,Trouver un lieu régulier et convivial,"Réserver un créneau récurrent dans un café, une bibliothèque ou une salle avec bonne lumière et tables."
mending-circle-s02,de-CH,Gemütlichen Stammort finden,"Einen wiederkehrenden Termin in einem Café, einer Bibliothek oder einem Gemeinschaftsraum mit gutem Licht und Tischen buchen."
mending-circle-s03,fr-CH,Constituer un kit de raccommodage commun,"Réunir aiguilles, fils, laines, pièces et une ou deux machines à coudre."
