blueprint_slug,language,title,summary
food-rescue,de-CH,Lebensmittelrettung und -verteilung,"Eine wiederkehrende Abholtour aufbauen, die überschüssige Lebensmittel von Betrieben zu Hilfswerken und offenen Kühlschränken bringt."
repair-skills-course,fr-CH,Cycle de formation aux compétences de réparation,"Un cours sur plusieurs semaines enseignant des compétences pratiques de réparation (électronique, textile, vélos) pour renforcer les capacités locales."
repair-skills-course,de-CH,Kursreihe Reparaturkompetenzen,"Ein mehrwöchiger Kurs, der praktische Reparaturfähigkeiten (Elektronik, Textilien, Velos) vermittelt und lokale Reparaturkapazität aufbaut."
school-garden,fr-CH,Programme de jardin scolaire,S'associer à une école pour créer et animer un jardin pédagogique intégré aux cours.
school-garden,de-CH,Schulgarten-Programm,"Mit einer Schule einen Lehr- und Lerngarten aufbauen und betreiben, der in den Unterricht integriert ist."
tree-planting,fr-CH,Plantation d'arbres de quartier,Organiser la plantation d'arbres de rue ou de parc avec la commune et les riverain·e·s.
tree-planting,de-CH,Baumpflanzung im Quartier,Die Pflanzung von Strassen- oder Parkbäumen mit Gemeinde und Anwohnenden organisieren.
bulk-buying-group,fr-CH,Groupement d'achat en vrac zéro déchet,Un groupe de quartier qui commande des denrées de base en gros pour réduire emballages et coûts.
bulk-buying-group,de-CH,Zero-Waste-Einkaufsgemeinschaft,"Eine Nachbarschaftsgruppe, die Grundnahrungsmittel im Grossgebinde bestellt und so Verpackung und Kosten spart."
lift-sharing,fr-CH,Réseau de covoiturage communautaire,"Mettre en place un covoiturage organisé pour un village, un pôle d'entreprises ou un club."
lift-sharing,de-CH,Fahrgemeinschafts-Netzwerk,"Ein organisiertes Mitfahrsystem für ein Dorf, einen Arbeitsplatz-Cluster oder einen Verein aufbauen."
walking-school-bus,fr-CH,Pédibus,Organiser des lignes de marche accompagnée où les enfants vont à l'école ensemble à pied plutôt qu'en voiture.
walking-school-bus,de-CH,Pedibus (laufender Schulbus),"Begleitete Schulwege organisieren, auf denen Kinder gemeinsam zu Fuss zur Schule gehen statt gefahren zu werden."
textile-upcycling,fr-CH,Cycle d'ateliers de surcyclage textile,Des ateliers transformant textiles abîmés ou délaissés en nouveaux vêtements et objets utiles.
textile-upcycling,de-CH,Workshopreihe Textil-Upcycling,"Workshops, die beschädigte oder aussortierte Textilien in neue Kleidungsstücke und nützliche Gegenstände verwandeln."
plant-based-cooking-club,fr-CH,Club de cuisine végétale,"Un groupe de cuisine convivial et récurrent explorant des repas bas carbone, abordables et savoureux."
plant-based-cooking-club,de-CH,Pflanzlicher Kochclub,"Eine wiederkehrende gesellige Kochgruppe, die günstige, feine und klimafreundliche Gerichte erkundet."
green-map,fr-CH,Carte verte locale / répertoire réparation & seconde main,"Recenser et publier une carte des ateliers de réparation, magasins de seconde main, stations de recharge en vrac et services de partage."
green-map,de-CH,Lokale grüne Karte / Reparatur- und Secondhand-Verzeichnis,"Eine Karte mit lokalen Reparaturwerkstätten, Secondhand-Läden, Unverpackt-Stationen und Sharing-Angeboten erstellen und veröffentlichen."
play-street,fr-CH,Rue de jeu / journée sans voitures,"Fermer temporairement une rue résidentielle au trafic pour une journée de jeu, de nourriture et de lien entre voisin·e·s."
play-street,de-CH,Spielstrasse / autofreier Tag,"Eine Wohnstrasse für einen Tag für den Verkehr sperren — für Spiel, Essen und nachbarschaftliche Begegnung."
draft-proofing-brigade,fr-CH,Brigade anti-courants d'air et économies d'énergie,"Des bénévoles formé·e·s aident les voisin·e·s à installer des mesures simples: joints d'étanchéité, films réflecteurs de radiateurs."
draft-proofing-brigade,de-CH,Energiespar-Brigade (Abdichten & Co.),"Geschulte Freiwillige helfen der Nachbarschaft, einfache Energiesparmassnahmen wie Dichtungen und Radiatorfolien zu installieren."
hard-to-recycle-points,fr-CH,Réseau de points de collecte pour déchets difficiles à recycler,"Un réseau de boîtes de dépôt dans magasins et cafés pour ce que la collecte ordinaire ne prend pas (bouchons de liège, stylos, blisters)."
hard-to-recycle-points,de-CH,Sammelstellen-Netz für schwer rezyklierbare Abfälle,"Ein Netz von Abgabeboxen in Läden und Cafés für Dinge, die die normale Sammlung nicht nimmt (Zapfen, Stifte, Blister)."
battery-awareness-campaign,fr-CH,Campagne de sensibilisation au recyclage des piles et ampoules,Une campagne locale pour que chaque ménage sache où et comment recycler piles et ampoules.
battery-awareness-campaign,de-CH,Sensibilisierungskampagne Batterie- und Leuchtmittel-Recycling,"Eine lokale Kampagne, damit alle Haushalte wissen, wo und wie Batterien und Leuchtmittel rezykliert werden."
guerrilla-gardening,fr-CH,Guérilla jardinière / bombes à graines,Embellir des espaces urbains délaissés avec des plantations indigènes peu exigeantes.
guerrilla-gardening,de-CH,Guerilla-Gärtnern / Samenbomben,Vernachlässigte Stadtflächen mit pflegeleichter einheimischer Bepflanzung verschönern.
second-hand-market,fr-CH,Marché de seconde main,Organiser un marché aux puces de quartier axé sur le réemploi.
second-hand-market,de-CH,Secondhand-Markt,Einen Quartier-Flohmarkt mit Fokus auf Wiederverwendung organisieren.
climate-quiz-night,fr-CH,Quiz climat au bistrot / soirée jeux,Une soirée quiz conviviale qui crée du lien communautaire autour des thèmes climatiques.
climate-quiz-night,de-CH,Klima-Pubquiz / Spieleabend,"Ein unterhaltsamer Quizabend, der Gemeinschaft rund um Klimathemen aufbaut."
sustainability-newsletter,fr-CH,Newsletter / blog local sur la durabilité,"Une publication régulière couvrant initiatives vertes locales, agenda et guides pratiques."
sustainability-newsletter,de-CH,Lokaler Nachhaltigkeits-Newsletter / -Blog,"Eine regelmässige Publikation über lokale grüne Initiativen, Termine und praktische Anleitungen."
swap-board,fr-CH,Tableau d'échange de quartier,Un tableau physique ou numérique où les voisin·e·s proposent et demandent objets et services.
swap-board,de-CH,Quartier-Tauschbrett,"Ein physisches oder digitales Brett, auf dem die Nachbarschaft Gegenstände und Gefälligkeiten anbietet und sucht."
solar-cooperative,fr-CH,Coopérative solaire / achat groupé de solaire,Organiser l'achat groupé ou la propriété coopérative d'installations solaires pour les toits de la région.
solar-cooperative,de-CH,Solargenossenschaft / gemeinschaftlicher Solar-Einkauf,Gemeinsamen Einkauf oder genossenschaftliches Eigentum von Solaranlagen für Dächer der Region organisieren.
community-renewable,fr-CH,Installation renouvelable citoyenne sur bâtiment public,"Développer une installation solaire financée par les citoyen·ne·s sur une école, une salle de sport ou un toit public, avec la commune comme hôte."
community-renewable,de-CH,Bürgerbeteiligungs-Solaranlage auf öffentlichem Gebäude,"Eine bürgerfinanzierte Solaranlage auf Schule, Turnhalle oder öffentlichem Dach entwickeln, mit der Gemeinde als Gastgeberin."
energy-audit-service,fr-CH,Service bénévole de diagnostic énergétique à domicile,Des bénévoles formé·e·s réalisent des évaluations énergétiques avec recommandations priorisées pour les ménages.
energy-audit-service,de-CH,Freiwilligendienst Heim-Energiechecks,Geschulte Freiwillige führen kostenlose Energie-Rundgänge mit priorisierten Empfehlungen für Haushalte durch.
rain-garden,fr-CH,Jardin de pluie / projet de débitumisation,Retirer un revêtement superflu et créer un jardin de pluie qui absorbe les eaux pluviales et soutient la biodiversité.
rain-garden,de-CH,Regengarten / Entsiegelungsprojekt,"Unnötige Versiegelung entfernen und einen Regengarten anlegen, der Regenwasser versickern lässt und Biodiversität fördert."
green-roof-pilot,fr-CH,Toiture ou façade végétalisée pilote sur un bâtiment communautaire,Installer une toiture végétalisée ou une façade grimpante de démonstration sur un bâtiment communautaire.
green-roof-pilot,de-CH,Pilotprojekt Gründach / Fassadenbegrünung an Gemeinschaftsgebäude,Ein Demonstrations-Gründach oder eine Kletterfassade an einem gemeinschaftlich genutzten Gebäude installieren.
air-quality-network,fr-CH,Réseau citoyen de mesure de la qualité de l'air,Déployer des capteurs bon marché dans le quartier et publier des données ouvertes sur la qualité de l'air.
air-quality-network,de-CH,Bürger-Messnetz für Luftqualität,Kostengünstige Sensoren im Quartier verteilen und offene Luftqualitätsdaten publizieren.
stream-restoration,fr-CH,Projet de revitalisation de ruisseau / rivière,"Restaurer avec les autorités un tronçon de cours d'eau dégradé: berges, végétation et habitats."
stream-restoration,de-CH,Bach- / Flussrevitalisierungsprojekt,"Mit den Behörden einen degradierten Gewässerabschnitt aufwerten: Ufer, Vegetation und Lebensräume."
wildlife-corridor,fr-CH,Plantation de haies / corridor biologique,Relier des habitats fragmentés en plantant des haies indigènes à travers des propriétés coopérantes.
wildlife-corridor,de-CH,Hecken- / Wildtierkorridor-Pflanzung,"Fragmentierte Lebensräume verbinden, indem über kooperierende Grundstücke einheimische Hecken gepflanzt werden."
community-orchard,fr-CH,Verger communautaire,Planter et entretenir un verger partagé de variétés fruitières locales sur un terrain public ou loué.
community-orchard,de-CH,Gemeinschaftsobstgarten,Einen gemeinsamen Obstgarten mit lokalen Sorten auf öffentlichem oder gepachtetem Land pflanzen und pflegen.
sme-sustainability-audit,fr-CH,Service d'audit de durabilité pour PME,Des bénévoles qualifié·e·s aident les petites entreprises locales à évaluer et réduire leur empreinte environnementale.
sme-sustainability-audit,de-CH,Nachhaltigkeits-Check für KMU,"Qualifizierte Freiwillige helfen kleinen lokalen Betrieben, ihren ökologischen Fussabdruck zu erfassen und zu senken."
cargo-bike-share,fr-CH,Système de vélos-cargos partagés,Mettre à disposition des vélos-cargos partagés pour transporter enfants et marchandises sans voiture.
cargo-bike-share,de-CH,Cargo-Velo-Sharing,"Geteilte Cargo-Velos bereitstellen, damit Haushalte Kinder und Waren ohne Auto transportieren können."
climate-advocacy-group,fr-CH,Groupe local de plaidoyer climatique / démarche d'assemblée citoyenne,Organiser les habitant·e·s pour défendre des politiques climatiques communales concrètes ou une assemblée citoyenne locale.
climate-advocacy-group,de-CH,Lokale Klima-Interessengruppe / Anstoss für Bürgerrat,"Die Bevölkerung organisieren, um konkrete kommunale Klimapolitik oder einen lokalen Bürgerrat einzufordern."
